date,Days Type,Daily,Weekly,Monthly,FIrstDayofmonth,LastDayoftheMonth,WeekNum,WeekName
3/20/2018,Calendar days,1,2,20,3/1/2018,2/28/2018,12,Tuesday
3/21/2018,Calendar days,1,3,21,3/1/2018,2/28/2018,12,Wednesday
3/22/2018,Calendar days,1,4,22,3/1/2018,2/28/2018,12,Thursday
3/23/2018,Calendar days,1,5,23,3/1/2018,2/28/2018,12,Friday
3/24/2018,Calendar days,1,6,24,3/1/2018,2/28/2018,12,Saturday
3/25/2018,Calendar days,1,7,25,3/1/2018,2/28/2018,13,Sunday
3/26/2018,Calendar days,1,1,26,3/1/2018,2/28/2018,13,Monday
3/27/2018,Calendar days,1,2,27,3/1/2018,2/28/2018,13,Tuesday
3/28/2018,Calendar days,1,3,28,3/1/2018,2/28/2018,13,Wednesday
3/29/2018,Calendar days,1,4,29,3/1/2018,2/28/2018,13,Thursday
3/30/2018,Calendar days,1,5,30,3/1/2018,2/28/2018,13,Friday
3/31/2018,Calendar days,1,6,31,3/1/2018,2/28/2018,13,Saturday
4/1/2018,Calendar days,1,7,1,4/1/2018,3/31/2018,14,Sunday
4/2/2018,Calendar days,1,1,2,4/1/2018,3/31/2018,14,Monday
4/3/2018,Calendar days,1,2,3,4/1/2018,3/31/2018,14,Tuesday
4/4/2018,Calendar days,1,3,4,4/1/2018,3/31/2018,14,Wednesday
4/5/2018,Calendar days,1,4,5,4/1/2018,3/31/2018,14,Thursday
4/6/2018,Calendar days,1,5,6,4/1/2018,3/31/2018,14,Friday
4/7/2018,Calendar days,1,6,7,4/1/2018,3/31/2018,14,Saturday
4/8/2018,Calendar days,1,7,8,4/1/2018,3/31/2018,15,Sunday
4/9/2018,Calendar days,1,1,9,4/1/2018,3/31/2018,15,Monday
4/10/2018,Calendar days,1,2,10,4/1/2018,3/31/2018,15,Tuesday
4/11/2018,Calendar days,1,3,11,4/1/2018,3/31/2018,15,Wednesday
4/12/2018,Calendar days,1,4,12,4/1/2018,3/31/2018,15,Thursday
4/13/2018,Calendar days,1,5,13,4/1/2018,3/31/2018,15,Friday
4/14/2018,Calendar days,1,6,14,4/1/2018,3/31/2018,15,Saturday
4/15/2018,Calendar days,1,7,15,4/1/2018,3/31/2018,16,Sunday
4/16/2018,Calendar days,1,1,16,4/1/2018,3/31/2018,16,Monday
4/17/2018,Calendar days,1,2,17,4/1/2018,3/31/2018,16,Tuesday
4/18/2018,Calendar days,1,3,18,4/1/2018,3/31/2018,16,Wednesday
4/19/2018,Calendar days,1,4,19,4/1/2018,3/31/2018,16,Thursday
4/20/2018,Calendar days,1,5,20,4/1/2018,3/31/2018,16,Friday
4/21/2018,Calendar days,1,6,21,4/1/2018,3/31/2018,16,Saturday
4/22/2018,Calendar days,1,7,22,4/1/2018,3/31/2018,17,Sunday
4/23/2018,Calendar days,1,1,23,4/1/2018,3/31/2018,17,Monday
4/24/2018,Calendar days,1,2,24,4/1/2018,3/31/2018,17,Tuesday
4/25/2018,Calendar days,1,3,25,4/1/2018,3/31/2018,17,Wednesday
4/26/2018,Calendar days,1,4,26,4/1/2018,3/31/2018,17,Thursday
4/27/2018,Calendar days,1,5,27,4/1/2018,3/31/2018,17,Friday
4/28/2018,Calendar days,1,6,28,4/1/2018,3/31/2018,17,Saturday
4/29/2018,Calendar days,1,7,29,4/1/2018,3/31/2018,18,Sunday
4/30/2018,Calendar days,1,1,30,4/1/2018,3/31/2018,18,Monday
5/1/2018,Calendar days,1,2,1,5/1/2018,4/30/2018,18,Tuesday
5/2/2018,Calendar days,1,3,2,5/1/2018,4/30/2018,18,Wednesday
5/3/2018,Calendar days,1,4,3,5/1/2018,4/30/2018,18,Thursday
5/4/2018,Calendar days,1,5,4,5/1/2018,4/30/2018,18,Friday
5/5/2018,Calendar days,1,6,5,5/1/2018,4/30/2018,18,Saturday
5/6/2018,Calendar days,1,7,6,5/1/2018,4/30/2018,19,Sunday
5/7/2018,Calendar days,1,1,7,5/1/2018,4/30/2018,19,Monday
5/8/2018,Calendar days,1,2,8,5/1/2018,4/30/2018,19,Tuesday
5/9/2018,Calendar days,1,3,9,5/1/2018,4/30/2018,19,Wednesday
5/10/2018,Calendar days,1,4,10,5/1/2018,4/30/2018,19,Thursday
5/11/2018,Calendar days,1,5,11,5/1/2018,4/30/2018,19,Friday
